Term,Position,Role,Intensity,Hyperobject
Job Displacement ,Threat,Driver,9,tech_disrup
Algorithmic Bias ,Threat,Contributor,8,tech_disrup
Data Breaches ,Threat,Driver,10,tech_disrup
Privacy Erosion ,Threat,Driver,10,tech_disrup
Surveillance State ,Threat,Facilitator,9,tech_disrup
Misinformation Spread ,Threat,Facilitator,8,tech_disrup
Cyber Warfare ,Threat,Contributor,7,tech_disrup
Digital Divide ,Threat,Contributor,8,tech_disrup
Skill Gaps ,Threat,Driver,8,tech_disrup
Deepfakes ,Threat,Driver,9,tech_disrup
Autonomous Weapons ,Threat,Driver,9,tech_disrup
Loss of Control ,Threat,Contributor,7,tech_disrup
Mental Health Impacts ,Threat,Contributor,6,tech_disrup
Data Manipulation ,Threat,Driver,8,tech_disrup
Economic Inequality ,Threat,Facilitator,7,tech_disrup
Social Isolation ,Threat,Contributor,5,tech_disrup
Identity Theft ,Threat,Driver,9,tech_disrup
Censorship ,Threat,Facilitator,6,tech_disrup
Filter Bubbles ,Threat,Driver,7,tech_disrup
Echo Chambers ,Threat,Driver,7,tech_disrup
Online Harassment ,Threat,Facilitator,8,tech_disrup
Diminished Critical Thinking ,Threat,Contributor,6,tech_disrup
Increased Polarization ,Threat,Facilitator,7,tech_disrup
Disinformation Campaigns ,Threat,Driver,8,tech_disrup
Digital Addiction ,Threat,Contributor,7,tech_disrup
Reduced Human Interaction ,Threat,Contributor,6,tech_disrup
Biometric Surveillance ,Threat,Driver,9,tech_disrup
Loss of Autonomy ,Threat,Contributor,7,tech_disrup
Automation Bias ,Threat,Driver,8,tech_disrup
Vendor Lock-in ,Threat,Driver,6,tech_disrup
Technical Debt ,Threat,Driver,7,tech_disrup
Cloud Vulnerabilities ,Threat,Driver,8,tech_disrup
Infrastructure Dependence ,Threat,Contributor,7,tech_disrup
AI Safety Risks ,Threat,Driver,9,tech_disrup
Unintended Consequences of AI ,Threat,Driver,8,tech_disrup
Black Box Algorithms ,Threat,Driver,8,tech_disrup
Loss of Traditional Skills ,Threat,Contributor,6,tech_disrup
Copyright Infringement ,Threat,Facilitator,7,tech_disrup
Intellectual Property Theft ,Threat,Facilitator,8,tech_disrup
Dependence on Foreign Technology ,Threat,Contributor,7,tech_disrup
Data Siloing ,Threat,Driver,6,tech_disrup
Lack of Data Interoperability ,Threat,Driver,7,tech_disrup
Ethical Dilemmas ,Threat,Driver,8,tech_disrup
Bias in Training Data ,Threat,Contributor,8,tech_disrup
Data Colonialism ,Threat,Facilitator,7,tech_disrup
Power Concentration ,Threat,Driver,8,tech_disrup
Limited Accountability ,Threat,Driver,7,tech_disrup
Regulatory Lag ,Threat,Driver,8,tech_disrup
Data Overload ,Threat,Contributor,7,tech_disrup
Inadequate Data Security ,Threat,Driver,9,tech_disrup
Shadow IT ,Threat,Driver,6,tech_disrup
Lack of Transparency ,Threat,Driver,8,tech_disrup
Dependence on Algorithms ,Threat,Driver,7,tech_disrup
Increased Complexity ,Threat,Driver,8,tech_disrup
Systemic Risk ,Threat,Facilitator,7,tech_disrup
Vulnerability to Cyberattacks ,Threat,Driver,9,tech_disrup
Quantum Computing Threats ,Threat,Driver,7,tech_disrup
Degradation of Human Capital ,Threat,Contributor,6,tech_disrup
Hacking of Critical Infrastructure ,Threat,Driver,9,tech_disrup
Disruption of Social Cohesion ,Threat,Contributor,7,tech_disrup
Erosion of Democratic Institutions ,Threat,Facilitator,7,tech_disrup
Spread of Propaganda ,Threat,Facilitator,8,tech_disrup
Influence Operations ,Threat,Facilitator,8,tech_disrup
